conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
202,TLS_AES_256_GCM_SHA384,ML-KEM-512,124592.00,0.00,188.00,189.00,82357.00
203,TLS_AES_256_GCM_SHA384,ML-KEM-512,124981.00,0.00,149.00,246.00,81894.00
204,TLS_AES_256_GCM_SHA384,ML-KEM-512,126003.00,0.00,140.00,184.00,82794.00
205,TLS_AES_256_GCM_SHA384,ML-KEM-512,126855.00,0.00,192.00,166.00,83688.00
206,TLS_AES_256_GCM_SHA384,ML-KEM-512,126813.00,0.00,200.00,187.00,83254.00
207,TLS_AES_256_GCM_SHA384,ML-KEM-512,126805.00,0.00,187.00,158.00,83825.00
208,TLS_AES_256_GCM_SHA384,ML-KEM-512,126898.00,0.00,210.00,170.00,84275.00
209,TLS_AES_256_GCM_SHA384,ML-KEM-512,126421.00,0.00,284.00,197.00,83036.00
210,TLS_AES_256_GCM_SHA384,ML-KEM-512,127040.00,0.00,209.00,184.00,83761.00
211,TLS_AES_256_GCM_SHA384,ML-KEM-512,125013.00,0.00,191.00,187.00,82483.00
212,TLS_AES_256_GCM_SHA384,ML-KEM-512,126890.00,0.00,188.00,183.00,84142.00
213,TLS_AES_256_GCM_SHA384,ML-KEM-512,127116.00,0.00,209.00,192.00,83608.00
214,TLS_AES_256_GCM_SHA384,ML-KEM-512,126432.00,0.00,218.00,235.00,82992.00
215,TLS_AES_256_GCM_SHA384,ML-KEM-512,127579.00,0.00,229.00,195.00,84226.00
216,TLS_AES_256_GCM_SHA384,ML-KEM-512,124759.00,0.00,133.00,191.00,82041.00
217,TLS_AES_256_GCM_SHA384,ML-KEM-512,127097.00,0.00,278.00,191.00,83931.00
218,TLS_AES_256_GCM_SHA384,ML-KEM-512,125863.00,1.00,341.00,194.00,82789.00
219,TLS_AES_256_GCM_SHA384,ML-KEM-512,124807.00,0.00,194.00,172.00,82158.00
220,TLS_AES_256_GCM_SHA384,ML-KEM-512,125568.00,0.00,191.00,161.00,82811.00
221,TLS_AES_256_GCM_SHA384,ML-KEM-512,125977.00,0.00,329.00,208.00,82920.00
222,TLS_AES_256_GCM_SHA384,ML-KEM-512,126985.00,0.00,215.00,413.00,83711.00
223,TLS_AES_256_GCM_SHA384,ML-KEM-512,126858.00,0.00,149.00,153.00,83653.00
224,TLS_AES_256_GCM_SHA384,ML-KEM-512,126875.00,0.00,227.00,156.00,83924.00
225,TLS_AES_256_GCM_SHA384,ML-KEM-512,125791.00,0.00,139.00,158.00,82795.00
226,TLS_AES_256_GCM_SHA384,ML-KEM-512,125944.00,0.00,198.00,161.00,82614.00
227,TLS_AES_256_GCM_SHA384,ML-KEM-512,125517.00,0.00,178.00,157.00,83252.00
228,TLS_AES_256_GCM_SHA384,ML-KEM-512,125984.00,0.00,264.00,169.00,83241.00
229,TLS_AES_256_GCM_SHA384,ML-KEM-512,125880.00,0.00,188.00,167.00,82857.00
230,TLS_AES_256_GCM_SHA384,ML-KEM-512,126574.00,0.00,205.00,171.00,83919.00
231,TLS_AES_256_GCM_SHA384,ML-KEM-512,127099.00,0.00,321.00,214.00,83299.00
232,TLS_AES_256_GCM_SHA384,ML-KEM-512,127826.00,0.00,318.00,194.00,84083.00
233,TLS_AES_256_GCM_SHA384,ML-KEM-512,126758.00,1.00,272.00,196.00,83764.00
234,TLS_AES_256_GCM_SHA384,ML-KEM-512,126937.00,1.00,211.00,210.00,83042.00
235,TLS_AES_256_GCM_SHA384,ML-KEM-512,125558.00,0.00,226.00,196.00,82124.00
236,TLS_AES_256_GCM_SHA384,ML-KEM-512,126252.00,1.00,187.00,142.00,82777.00
237,TLS_AES_256_GCM_SHA384,ML-KEM-512,124861.00,0.00,125.00,176.00,82499.00
238,TLS_AES_256_GCM_SHA384,ML-KEM-512,126517.00,0.00,285.00,178.00,82914.00
239,TLS_AES_256_GCM_SHA384,ML-KEM-512,126932.00,0.00,289.00,200.00,83725.00
240,TLS_AES_256_GCM_SHA384,ML-KEM-512,125587.00,0.00,182.00,186.00,82772.00
241,TLS_AES_256_GCM_SHA384,ML-KEM-512,126164.00,0.00,191.00,202.00,83185.00
242,TLS_AES_256_GCM_SHA384,ML-KEM-512,126958.00,0.00,145.00,139.00,83951.00
243,TLS_AES_256_GCM_SHA384,ML-KEM-512,126792.00,0.00,147.00,185.00,83621.00
244,TLS_AES_256_GCM_SHA384,ML-KEM-512,126396.00,1.00,168.00,166.00,83766.00
245,TLS_AES_256_GCM_SHA384,ML-KEM-512,126027.00,0.00,203.00,184.00,82965.00
246,TLS_AES_256_GCM_SHA384,ML-KEM-512,127560.00,0.00,318.00,162.00,84268.00
247,TLS_AES_256_GCM_SHA384,ML-KEM-512,127334.00,0.00,162.00,148.00,84077.00
248,TLS_AES_256_GCM_SHA384,ML-KEM-512,125905.00,0.00,198.00,185.00,83336.00
249,TLS_AES_256_GCM_SHA384,ML-KEM-512,126875.00,0.00,182.00,165.00,83737.00
250,TLS_AES_256_GCM_SHA384,ML-KEM-512,126295.00,0.00,228.00,197.00,82671.00
251,TLS_AES_256_GCM_SHA384,ML-KEM-512,126481.00,0.00,127.00,119.00,83134.00
252,TLS_AES_256_GCM_SHA384,ML-KEM-512,127622.00,0.00,190.00,169.00,84556.00
253,TLS_AES_256_GCM_SHA384,ML-KEM-512,126048.00,0.00,199.00,152.00,82932.00
254,TLS_AES_256_GCM_SHA384,ML-KEM-512,127844.00,0.00,217.00,195.00,84275.00
255,TLS_AES_256_GCM_SHA384,ML-KEM-512,126015.00,0.00,230.00,191.00,82452.00
256,TLS_AES_256_GCM_SHA384,ML-KEM-512,127892.00,0.00,227.00,236.00,83512.00
257,TLS_AES_256_GCM_SHA384,ML-KEM-512,126628.00,1.00,223.00,224.00,83497.00
258,TLS_AES_256_GCM_SHA384,ML-KEM-512,126706.00,0.00,184.00,229.00,83714.00
259,TLS_AES_256_GCM_SHA384,ML-KEM-512,125982.00,0.00,161.00,137.00,82766.00
260,TLS_AES_256_GCM_SHA384,ML-KEM-512,127737.00,0.00,312.00,241.00,83747.00
261,TLS_AES_256_GCM_SHA384,ML-KEM-512,127937.00,0.00,422.00,132.00,83716.00
262,TLS_AES_256_GCM_SHA384,ML-KEM-512,127641.00,0.00,256.00,182.00,84201.00
263,TLS_AES_256_GCM_SHA384,ML-KEM-512,128052.00,0.00,157.00,169.00,84874.00
264,TLS_AES_256_GCM_SHA384,ML-KEM-512,127564.00,0.00,226.00,174.00,84270.00
265,TLS_AES_256_GCM_SHA384,ML-KEM-512,127281.00,0.00,273.00,196.00,83595.00
266,TLS_AES_256_GCM_SHA384,ML-KEM-512,125312.00,0.00,234.00,163.00,82461.00
267,TLS_AES_256_GCM_SHA384,ML-KEM-512,127273.00,0.00,196.00,178.00,83431.00
268,TLS_AES_256_GCM_SHA384,ML-KEM-512,126681.00,0.00,179.00,142.00,83403.00
269,TLS_AES_256_GCM_SHA384,ML-KEM-512,124939.00,0.00,130.00,145.00,81858.00
270,TLS_AES_256_GCM_SHA384,ML-KEM-512,126844.00,0.00,205.00,154.00,83610.00
