conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
123,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,268689.00,0.00,217.00,39.00,45576.00
124,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,264783.00,0.00,221.00,40.00,45522.00
125,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,558031.00,0.00,268.00,46.00,44782.00
126,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,256618.00,0.00,214.00,40.00,45436.00
127,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,270929.00,0.00,222.00,40.00,45224.00
128,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,320962.00,0.00,264.00,46.00,44933.00
129,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,196009.00,0.00,353.00,47.00,44857.00
130,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,265525.00,0.00,219.00,39.00,45369.00
131,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,358192.00,0.00,230.00,39.00,45024.00
132,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,410036.00,0.00,222.00,41.00,45535.00
133,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,515426.00,0.00,222.00,41.00,44646.00
134,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,227986.00,0.00,217.00,40.00,45410.00
135,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,140091.00,0.00,243.00,43.00,45698.00
136,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,448694.00,0.00,215.00,39.00,45318.00
137,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,1227091.00,0.00,313.00,41.00,44914.00
138,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,282611.00,0.00,212.00,45.00,45468.00
139,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,291026.00,0.00,232.00,41.00,45181.00
140,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,240865.00,0.00,220.00,39.00,45497.00
141,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,281967.00,0.00,296.00,39.00,45794.00
142,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,383414.00,0.00,237.00,63.00,44430.00
143,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,218133.00,0.00,209.00,72.00,45019.00
144,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,264685.00,1.00,208.00,60.00,44702.00
145,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,164983.00,1.00,222.00,57.00,89945.00
146,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,500747.00,0.00,240.00,90.00,44899.00
147,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,137054.00,0.00,264.00,66.00,45792.00
148,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,317880.00,0.00,210.00,59.00,44580.00
149,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,178202.00,0.00,245.00,45.00,45202.00
150,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,396979.00,1.00,232.00,41.00,45536.00
151,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,308493.00,0.00,218.00,39.00,45313.00
152,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,228350.00,1.00,231.00,42.00,45638.00
153,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,210493.00,0.00,314.00,50.00,45620.00
154,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,161081.00,0.00,222.00,41.00,45472.00
155,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,212621.00,0.00,235.00,40.00,45037.00
156,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,247140.00,0.00,217.00,40.00,45415.00
157,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,313900.00,0.00,223.00,42.00,45671.00
158,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,240816.00,0.00,217.00,40.00,44569.00
159,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,310874.00,0.00,224.00,40.00,45702.00
160,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,268893.00,0.00,236.00,42.00,45871.00
161,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,553465.00,0.00,212.00,39.00,45492.00
162,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,134429.00,0.00,281.00,49.00,45785.00
163,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,232700.00,0.00,215.00,40.00,44892.00
164,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,275919.00,0.00,219.00,39.00,45775.00
165,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,152768.00,0.00,244.00,41.00,45995.00
166,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,422781.00,0.00,238.00,42.00,45758.00
167,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,272090.00,0.00,236.00,40.00,44997.00
168,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,362724.00,0.00,240.00,39.00,44920.00
169,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,212775.00,0.00,230.00,41.00,45378.00
170,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,175575.00,1.00,218.00,39.00,45896.00
171,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,264289.00,0.00,221.00,40.00,45840.00
172,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,142691.00,0.00,235.00,43.00,45951.00
173,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,157914.00,0.00,222.00,41.00,45313.00
174,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,232894.00,0.00,239.00,40.00,44902.00
175,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,429947.00,0.00,222.00,39.00,45647.00
176,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,559771.00,0.00,224.00,40.00,45514.00
177,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,228782.00,0.00,233.00,40.00,44937.00
178,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,358814.00,0.00,228.00,39.00,45159.00
179,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,326872.00,1.00,305.00,41.00,45009.00
180,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,201915.00,0.00,214.00,55.00,45065.00
181,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,340925.00,0.00,227.00,39.00,44671.00
182,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,532933.00,0.00,248.00,43.00,45712.00
183,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,260675.00,0.00,234.00,40.00,45081.00
184,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,214072.00,0.00,224.00,40.00,45272.00
185,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,518746.00,0.00,265.00,42.00,45089.00
186,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,342870.00,0.00,268.00,43.00,45103.00
187,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,384695.00,0.00,217.00,40.00,45822.00
188,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,211709.00,1.00,291.00,40.00,45737.00
189,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,266148.00,0.00,230.00,40.00,45329.00
190,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,368750.00,0.00,218.00,40.00,45805.00
191,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,246582.00,0.00,227.00,39.00,45661.00
192,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,184104.00,0.00,220.00,42.00,45811.00
193,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,412055.00,0.00,219.00,39.00,45212.00
194,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,211576.00,0.00,237.00,40.00,45014.00
195,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,300745.00,1.00,212.00,73.00,44807.00
196,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,131175.00,0.00,245.00,69.00,45358.00
197,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,603030.00,0.00,243.00,42.00,45187.00
198,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,176684.00,1.00,222.00,41.00,45694.00
199,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,224852.00,0.00,236.00,40.00,44805.00
200,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,466839.00,0.00,213.00,39.00,45276.00
201,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,138945.00,0.00,230.00,43.00,45917.00
202,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,272771.00,0.00,225.00,39.00,45204.00
203,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,402776.00,1.00,241.00,59.00,44749.00
204,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,432805.00,0.00,220.00,40.00,45151.00
205,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,246060.00,0.00,218.00,39.00,45815.00
206,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,259650.00,0.00,214.00,65.00,45147.00
207,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,197765.00,0.00,208.00,58.00,44964.00
208,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,168873.00,1.00,198.00,57.00,45485.00
209,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,198014.00,0.00,195.00,74.00,45109.00
210,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,181842.00,0.00,208.00,60.00,44297.00
211,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,262207.00,1.00,229.00,57.00,45129.00
212,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,181089.00,0.00,225.00,41.00,46016.00
213,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,392662.00,1.00,219.00,39.00,45678.00
214,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,189939.00,0.00,227.00,42.00,45381.00
215,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,545519.00,0.00,219.00,40.00,45717.00
216,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,178143.00,0.00,219.00,41.00,45597.00
