conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
137,TLS_AES_256_GCM_SHA384,X25519,44667.00,199.00,393.00,120.00,1151.00
138,TLS_AES_256_GCM_SHA384,X25519,43070.00,134.00,262.00,82.00,754.00
139,TLS_AES_256_GCM_SHA384,X25519,43894.00,202.00,432.00,135.00,1302.00
140,TLS_AES_256_GCM_SHA384,X25519,44283.00,237.00,403.00,119.00,1092.00
141,TLS_AES_256_GCM_SHA384,X25519,44835.00,202.00,408.00,115.00,1425.00
142,TLS_AES_256_GCM_SHA384,X25519,44477.00,223.00,396.00,121.00,1205.00
143,TLS_AES_256_GCM_SHA384,X25519,44750.00,201.00,511.00,129.00,1139.00
144,TLS_AES_256_GCM_SHA384,X25519,45591.00,254.00,502.00,148.00,1333.00
145,TLS_AES_256_GCM_SHA384,X25519,45562.00,423.00,553.00,165.00,1584.00
146,TLS_AES_256_GCM_SHA384,X25519,45273.00,375.00,573.00,155.00,1481.00
147,TLS_AES_256_GCM_SHA384,X25519,44739.00,251.00,470.00,136.00,1771.00
148,TLS_AES_256_GCM_SHA384,X25519,44272.00,175.00,445.00,130.00,1304.00
149,TLS_AES_256_GCM_SHA384,X25519,44860.00,244.00,438.00,130.00,1342.00
150,TLS_AES_256_GCM_SHA384,X25519,45429.00,348.00,532.00,154.00,1353.00
151,TLS_AES_256_GCM_SHA384,X25519,44143.00,224.00,441.00,132.00,1232.00
152,TLS_AES_256_GCM_SHA384,X25519,46733.00,341.00,401.00,154.00,755.00
153,TLS_AES_256_GCM_SHA384,X25519,44750.00,373.00,561.00,151.00,1322.00
154,TLS_AES_256_GCM_SHA384,X25519,44188.00,356.00,358.00,121.00,1061.00
155,TLS_AES_256_GCM_SHA384,X25519,44547.00,195.00,274.00,98.00,919.00
156,TLS_AES_256_GCM_SHA384,X25519,45263.00,469.00,593.00,142.00,1249.00
157,TLS_AES_256_GCM_SHA384,X25519,44857.00,217.00,495.00,145.00,1348.00
158,TLS_AES_256_GCM_SHA384,X25519,44795.00,261.00,470.00,130.00,1323.00
159,TLS_AES_256_GCM_SHA384,X25519,44023.00,221.00,442.00,134.00,1265.00
160,TLS_AES_256_GCM_SHA384,X25519,44742.00,289.00,503.00,179.00,1428.00
161,TLS_AES_256_GCM_SHA384,X25519,45031.00,259.00,474.00,137.00,1662.00
162,TLS_AES_256_GCM_SHA384,X25519,43861.00,188.00,373.00,121.00,1128.00
163,TLS_AES_256_GCM_SHA384,X25519,45166.00,302.00,569.00,152.00,984.00
164,TLS_AES_256_GCM_SHA384,X25519,44732.00,304.00,518.00,152.00,1256.00
165,TLS_AES_256_GCM_SHA384,X25519,45584.00,421.00,580.00,173.00,1498.00
166,TLS_AES_256_GCM_SHA384,X25519,45069.00,272.00,529.00,177.00,1378.00
167,TLS_AES_256_GCM_SHA384,X25519,44451.00,256.00,527.00,156.00,1332.00
168,TLS_AES_256_GCM_SHA384,X25519,44654.00,252.00,475.00,149.00,1326.00
169,TLS_AES_256_GCM_SHA384,X25519,44303.00,244.00,508.00,151.00,1274.00
170,TLS_AES_256_GCM_SHA384,X25519,44658.00,327.00,535.00,148.00,1353.00
171,TLS_AES_256_GCM_SHA384,X25519,44884.00,336.00,526.00,152.00,1376.00
172,TLS_AES_256_GCM_SHA384,X25519,44608.00,389.00,433.00,143.00,1172.00
173,TLS_AES_256_GCM_SHA384,X25519,43746.00,219.00,291.00,108.00,966.00
174,TLS_AES_256_GCM_SHA384,X25519,44671.00,252.00,467.00,130.00,1092.00
175,TLS_AES_256_GCM_SHA384,X25519,46162.00,282.00,465.00,158.00,1285.00
176,TLS_AES_256_GCM_SHA384,X25519,44544.00,225.00,458.00,132.00,1318.00
177,TLS_AES_256_GCM_SHA384,X25519,44931.00,252.00,478.00,148.00,1315.00
178,TLS_AES_256_GCM_SHA384,X25519,44483.00,201.00,450.00,140.00,1268.00
179,TLS_AES_256_GCM_SHA384,X25519,45129.00,322.00,564.00,142.00,1306.00
180,TLS_AES_256_GCM_SHA384,X25519,45727.00,290.00,464.00,135.00,1269.00
181,TLS_AES_256_GCM_SHA384,X25519,44050.00,220.00,362.00,131.00,1080.00
